,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,explicit,artists,like
0,0.489,0.516,1,-8.921,0,0.308,0.446,0.0,0.0832,0.172,149.611,95160,4,49,True,['Damso'],1
1,0.662,0.436,9,-12.9,0,0.0651,0.853,0.0,0.0624,0.627,92.857,178293,4,48,False,['Jean Leloup'],1
2,0.517,0.928,4,-8.881,0,0.0448,0.0145,0.0233,0.481,0.728,90.593,172707,4,32,False,['Jean Leloup'],1
3,0.82,0.407,4,-11.301,0,0.0387,0.771,0.00544,0.113,0.77,125.642,138027,4,42,False,['Jean Leloup'],1
4,0.452,0.579,2,-11.085,1,0.0476,0.0153,0.893,0.637,0.929,84.615,213760,4,62,False,['Khruangbin'],1
5,0.666,0.55,1,-8.228,0,0.0269,0.41,7.64e-06,0.185,0.795,140.062,154795,4,16,False,['Vicente Cifuentes'],1
6,0.559,0.601,3,-9.528,1,0.0464,0.26,0.0121,0.122,0.604,114.08,126133,4,53,False,['Bobby Womack'],1
7,0.614,0.49,10,-14.492,1,0.462,0.828,0.634,0.679,0.542,64.478,89600,3,20,False,['Jean Leloup'],1
8,0.527,0.632,0,-10.448,1,0.0424,0.283,0.000964,0.484,0.772,101.459,181933,4,40,False,['Jean Leloup'],1
9,0.281,0.221,11,-17.095,0,0.0302,0.714,0.000312,0.107,0.179,145.274,334960,4,32,False,['Harmonium'],1
10,0.788,0.434,5,-7.815,0,0.0302,0.83,3.62e-06,0.0999,0.585,93.003,189067,4,61,False,['Vicente Garcia'],1
11,0.597,0.74,0,-10.12,1,0.0331,0.224,3.58e-06,0.073,0.965,138.324,181200,4,20,False,['Jean Leloup'],1
12,0.678,0.604,11,-9.707,0,0.216,0.211,0.0,0.0694,0.688,102.695,219720,4,12,False,['Jean Leclerc'],1
13,0.561,0.627,7,-12.922,1,0.0312,0.429,0.296,0.165,0.674,79.982,228667,4,38,False,['Daniel Bélanger'],1
14,0.62,0.309,4,-14.528,0,0.043,0.698,0.0424,0.119,0.6,109.459,167600,3,59,False,"['Toquinho', 'Vinícius de Moraes']",1
15,0.42,0.53,5,-12.463,0,0.0318,0.579,0.825,0.19,0.839,150.584,380173,4,30,False,['Jean Leloup'],1
16,0.635,0.3,2,-13.957,0,0.0285,0.707,0.829,0.574,0.772,91.452,218307,4,66,False,['Khruangbin'],1
17,0.747,0.686,10,-4.802,1,0.0308,0.587,0.0,0.1,0.913,122.005,238707,4,64,False,['Prince Royce'],1
18,0.446,0.564,0,-6.546,0,0.0283,0.565,3.52e-05,0.28,0.443,134.123,255533,4,29,False,['Cesária Evora'],1
19,0.628,0.641,6,-9.742,1,0.0265,0.501,0.0681,0.146,0.602,94.955,239467,4,41,False,['Daniel Bélanger'],1
20,0.497,0.552,9,-7.102,0,0.0307,0.679,0.0314,0.089,0.633,124.359,195867,4,62,False,['Santana'],1
21,0.625,0.499,5,-14.094,1,0.0742,0.483,0.87,0.305,0.783,88.223,298440,4,59,False,['Khruangbin'],1
22,0.728,0.424,4,-12.471,0,0.0481,0.865,1.25e-05,0.0974,0.726,120.219,166333,3,38,False,['Jean Leloup'],1
23,0.679,0.62,0,-10.943,1,0.0469,0.549,0.0189,0.0774,0.619,179.505,301573,4,67,False,['Jerry Rivera'],1
24,0.61,0.823,5,-5.144,0,0.0323,0.211,0.0325,0.105,0.456,92.989,279840,4,45,False,['The Voidz'],1
25,0.548,0.495,9,-7.736,1,0.0325,0.539,3.01e-06,0.174,0.502,121.288,272520,4,59,False,['Los Tres'],1
26,0.644,0.485,5,-10.435,0,0.0364,0.0874,0.00195,0.141,0.825,144.081,229293,4,25,False,['Jean Leloup'],1
27,0.667,0.634,2,-12.863,1,0.138,0.00898,0.541,0.151,0.579,99.039,214467,4,23,False,['Jean Leclerc'],1
28,0.535,0.827,7,-2.932,1,0.0989,0.0121,0.0611,0.117,0.649,123.952,253827,4,48,False,['The Voidz'],1
29,0.479,0.374,9,-13.603,0,0.0486,0.392,5.58e-06,0.0849,0.707,101.953,157467,4,32,False,"['Toquinho', 'Vinícius']",1
30,0.696,0.47,11,-14.773,0,0.222,0.266,1.71e-05,0.106,0.38,171.57,248000,4,28,False,['Jean Leloup'],1
31,0.433,0.675,2,-6.702,0,0.0337,0.0911,0.293,0.159,0.184,137.268,254867,4,57,False,['Radiohead'],1
32,0.29,0.412,6,-12.659,0,0.0458,0.477,0.0839,0.079,0.12,90.539,498960,4,59,False,"['Daft Punk', 'Paul Williams']",1
33,0.755,0.737,10,-9.611,0,0.0653,0.466,0.000653,0.504,0.836,87.997,287560,4,44,False,['Marcos Valle'],1
34,0.487,0.653,0,-6.873,1,0.0516,0.369,0.269,0.321,0.483,139.441,159800,4,20,False,['Jean Leloup'],1
35,0.485,0.238,0,-16.789,0,0.0341,0.912,0.923,0.144,0.15,93.016,221267,4,15,False,['Webert Sicot'],1
36,0.763,0.401,7,-10.814,1,0.0335,0.767,0.000262,0.0967,0.589,129.995,296769,4,40,False,"['Vicente Cifuentes', 'Vicente Garcia']",1
37,0.653,0.319,4,-17.813,0,0.0364,0.439,0.0,0.0906,0.845,147.858,138013,4,62,False,"['Astrud Gilberto', 'Antônio Carlos Jobim']",1
38,0.732,0.226,0,-12.36,1,0.0449,0.872,0.0281,0.114,0.67,131.061,237813,4,30,False,['Jean Leloup'],1
39,0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,240342,4,77,True,"['6LACK', 'J. Cole']",1
40,0.695,0.306,0,-12.181,1,0.0562,0.917,0.399,0.0946,0.321,77.723,144118,4,55,False,['Prima'],1
41,0.576,0.511,7,-11.005,1,0.0384,0.0215,0.804,0.563,0.812,74.036,269033,4,48,False,['Khruangbin'],1
42,0.458,0.413,6,-12.889,1,0.0622,0.72,2.44e-06,0.613,0.718,165.89,452907,4,26,False,['Jean Leloup'],1
43,0.488,0.306,4,-9.174,0,0.0389,0.928,0.793,0.111,0.252,103.437,246453,4,26,False,"['Toquinho', 'Vinícius']",1
44,0.557,0.534,5,-8.863,1,0.0328,0.627,0.0192,0.425,0.226,99.99,348945,4,7,False,"[""L'Impératrice""]",1
45,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,4,92,True,['Travis Scott'],1
46,0.427,0.597,1,-12.409,0,0.0522,0.277,0.000153,0.385,0.56,145.584,318533,4,31,False,['Jean Leloup'],1
47,0.747,0.395,7,-14.974,1,0.0502,0.875,0.915,0.127,0.926,102.122,258733,4,38,False,"['Herbie Mann', 'João Gilberto', 'Antônio Carlos Jobim']",1
48,0.295,0.15,1,-10.243,0,0.0325,0.794,0.208,0.103,0.131,137.393,191000,4,58,False,['Radiohead'],1
49,0.68,0.36,3,-13.452,0,0.438,0.793,0.0,0.121,0.208,119.511,189500,4,43,True,['Lonepsi'],1
50,0.699,0.889,11,-4.999,0,0.0683,0.423,0.0,0.226,0.87,97.028,168200,4,46,False,['Jean Leloup'],1
51,0.475,0.364,7,-11.174,0,0.033,0.882,0.028,0.125,0.392,99.068,167507,4,40,False,"['Toquinho', 'Vinícius']",1
52,0.556,0.584,8,-7.218,0,0.274,0.477,0.0,0.139,0.294,130.086,288160,4,52,True,['Damso'],1
53,0.55,0.132,2,-20.948,1,0.15,0.67,0.0,0.325,0.571,133.531,120027,3,8,False,['Jean Leclerc'],1
54,0.567,0.478,11,-9.661,0,0.0403,0.718,0.000446,0.112,0.679,128.442,228853,4,42,False,['Caetano Veloso'],1
55,0.598,0.365,7,-14.722,0,0.0646,0.883,0.0,0.169,0.564,122.601,409400,4,35,False,"['Toquinho', 'Vinícius de Moraes']",1
56,0.642,0.735,1,-9.489,1,0.127,0.489,4.76e-05,0.122,0.927,170.403,263080,4,34,False,['Jean Leloup'],1
57,0.685,0.508,5,-9.28,0,0.0358,0.352,0.0,0.11,0.5,135.985,204956,3,47,True,['Hamza'],1
58,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,270715,4,86,True,['Travis Scott'],1
59,0.808,0.805,1,-3.392,1,0.103,0.00113,0.0585,0.193,0.886,107.965,240758,4,40,False,"['KAYTRANADA', 'VanJess']",1
60,0.659,0.748,4,-7.809,0,0.0424,0.342,3.04e-05,0.319,0.872,113.055,224293,4,31,False,['Jean Leloup'],1
61,0.777,0.554,2,-8.179,1,0.0572,0.182,1.7e-06,0.0477,0.27,129.933,206840,4,66,True,['Damso'],1
62,0.759,0.634,5,-6.609,0,0.096,0.539,0.000228,0.183,0.444,156.02,177172,4,62,True,['6LACK'],1
63,0.592,0.371,9,-9.965,0,0.0437,0.4,0.000367,0.0953,0.197,127.966,316546,4,64,True,['PNL'],1
64,0.418,0.619,6,-7.923,1,0.0538,0.606,0.0,0.685,0.755,166.961,274760,4,42,False,['Jean Leloup'],1
65,0.755,0.575,4,-8.393,0,0.0678,0.0456,0.00124,0.276,0.49,85.987,205147,4,74,True,['Drake'],1
66,0.596,0.401,4,-12.586,0,0.0383,0.0159,0.894,0.16,0.739,82.082,265410,4,55,False,['Khruangbin'],1
67,0.777,0.698,6,-7.706,0,0.0704,0.293,2.32e-05,0.0908,0.119,119.963,247161,4,68,True,['PNL'],1
68,0.541,0.404,0,-8.95,1,0.0388,0.924,0.232,0.127,0.527,89.412,136467,4,41,False,"['Toquinho', 'Vinícius']",1
69,0.903,0.439,8,-11.813,1,0.397,0.0407,0.0,0.138,0.532,139.112,307593,4,64,True,"['Drake', '2 Chainz', 'Young Thug']",1
70,0.593,0.469,10,-9.169,1,0.04,0.154,0.000101,0.215,0.471,95.02,164403,4,33,False,['Vicente Cifuentes'],1
71,0.522,0.468,5,-10.962,0,0.0681,0.8,0.0,0.245,0.568,110.203,200707,3,40,False,['Jean Leloup'],1
72,0.244,0.272,9,-10.149,0,0.033,0.885,0.321,0.215,0.159,95.54,410867,4,0,False,"['Os Cariocas', 'Antônio Carlos Jobim', 'Vinincius De Morais']",1
73,0.72,0.346,8,-12.008,0,0.0605,0.851,0.938,0.112,0.383,83.752,429093,4,59,False,['KOKOROKO'],1
74,0.376,0.331,0,-12.291,1,0.0447,0.697,0.847,0.357,0.189,77.387,219133,4,5,False,['Webert Sicot'],1
75,0.803,0.448,11,-11.528,0,0.0712,0.569,4.43e-05,0.381,0.782,95.524,167427,4,30,False,['Jean Leloup'],1
76,0.724,0.783,0,-4.755,1,0.0414,0.766,0.0,0.256,0.956,87.515,221960,4,57,False,['Onda Vaga'],1
77,0.502,0.552,1,-9.154,0,0.0381,0.0173,0.0627,0.132,0.53,112.154,170093,5,12,False,['Jean Leclerc'],1
